cod_ibge,nome,mesorregiao,microrregiao,regiao_imediata,regiao_intermediaria
2600054,Abreu e Lima,Metropolitana de Recife,Recife,Recife,Recife
2600104,Afogados da Ingazeira,Sertão Pernambucano,Pajeú,Afogados da Ingazeira,Serra Talhada
2600203,Afrânio,São Francisco Pernambucano,Petrolina,Petrolina,Petrolina
2600302,Agrestina,Agreste Pernambucano,Brejo Pernambucano,Caruaru,Caruaru
2600401,Água Preta,Mata Pernambucana,Mata Meridional Pernambucana,Palmares,Recife
2600500,Águas Belas,Agreste Pernambucano,Vale do Ipanema,Garanhuns,Caruaru
2600609,Alagoinha,Agreste Pernambucano,Vale do Ipojuca,Belo Jardim - Pesqueira,Caruaru
2600708,Aliança,Mata Pernambucana,Mata Setentrional Pernambucana,Goiana - Timbaúba,Recife
2600807,Altinho,Agreste Pernambucano,Brejo Pernambucano,Caruaru,Caruaru
2600906,Amaraji,Mata Pernambucana,Mata Meridional Pernambucana,Escada - Ribeirão,Recife
2601003,Angelim,Agreste Pernambucano,Garanhuns,Garanhuns,Caruaru
2601052,Araçoiaba,Metropolitana de Recife,Itamaracá,Recife,Recife
2601102,Araripina,Sertão Pernambucano,Araripina,Araripina,Petrolina
2601201,Arcoverde,Sertão Pernambucano,Sertão do Moxotó,Arcoverde,Caruaru
2601300,Barra de Guabiraba,Agreste Pernambucano,Brejo Pernambucano,Caruaru,Caruaru
2601409,Barreiros,Mata Pernambucana,Mata Meridional Pernambucana,Barreiros - Sirinhaém,Recife
2601508,Belém de Maria,Mata Pernambucana,Mata Meridional Pernambucana,Palmares,Recife
2601607,Belém do São Francisco,São Francisco Pernambucano,Itaparica,Salgueiro,Petrolina
2601706,Belo Jardim,Agreste Pernambucano,Vale do Ipojuca,Belo Jardim - Pesqueira,Caruaru
2601805,Betânia,Sertão Pernambucano,Sertão do Moxotó,Serra Talhada,Serra Talhada
2601904,Bezerros,Agreste Pernambucano,Vale do Ipojuca,Caruaru,Caruaru
2602001,Bodocó,Sertão Pernambucano,Araripina,Araripina,Petrolina
2602100,Bom Conselho,Agreste Pernambucano,Garanhuns,Garanhuns,Caruaru
2602209,Bom Jardim,Agreste Pernambucano,Médio Capibaribe,Limoeiro,Recife
2602308,Bonito,Agreste Pernambucano,Brejo Pernambucano,Caruaru,Caruaru
2602407,Brejão,Agreste Pernambucano,Garanhuns,Garanhuns,Caruaru
2602506,Brejinho,Sertão Pernambucano,Pajeú,Afogados da Ingazeira,Serra Talhada
2602605,Brejo da Madre de Deus,Agreste Pernambucano,Vale do Ipojuca,Caruaru,Caruaru
2602704,Buenos Aires,Mata Pernambucana,Mata Setentrional Pernambucana,Carpina,Recife
2602803,Buíque,Agreste Pernambucano,Vale do Ipanema,Arcoverde,Caruaru
2602902,Cabo de Santo Agostinho,Metropolitana de Recife,Suape,Recife,Recife
2603009,Cabrobó,São Francisco Pernambucano,Petrolina,Salgueiro,Petrolina
2603108,Cachoeirinha,Agreste Pernambucano,Vale do Ipojuca,Caruaru,Caruaru
2603207,Caetés,Agreste Pernambucano,Garanhuns,Garanhuns,Caruaru
2603306,Calçado,Agreste Pernambucano,Garanhuns,Garanhuns,Caruaru
2603405,Calumbi,Sertão Pernambucano,Pajeú,Serra Talhada,Serra Talhada
2603454,Camaragibe,Metropolitana de Recife,Recife,Recife,Recife
2603504,Camocim de São Félix,Agreste Pernambucano,Brejo Pernambucano,Caruaru,Caruaru
2603603,Camutanga,Mata Pernambucana,Mata Setentrional Pernambucana,Goiana - Timbaúba,Recife
2603702,Canhotinho,Agreste Pernambucano,Garanhuns,Garanhuns,Caruaru
2603801,Capoeiras,Agreste Pernambucano,Vale do Ipojuca,Garanhuns,Caruaru
2603900,Carnaíba,Sertão Pernambucano,Pajeú,Afogados da Ingazeira,Serra Talhada
2603926,Carnaubeira da Penha,São Francisco Pernambucano,Itaparica,Serra Talhada,Serra Talhada
2604007,Carpina,Mata Pernambucana,Mata Setentrional Pernambucana,Carpina,Recife
2604106,Caruaru,Agreste Pernambucano,Vale do Ipojuca,Caruaru,Caruaru
2604155,Casinhas,Agreste Pernambucano,Alto Capibaribe,Surubim,Recife
2604205,Catende,Mata Pernambucana,Mata Meridional Pernambucana,Palmares,Recife
2604304,Cedro,Sertão Pernambucano,Salgueiro,Salgueiro,Petrolina
2604403,Chã de Alegria,Mata Pernambucana,Vitória de Santo Antão,Vitória de Santo Antão,Recife
2604502,Chã Grande,Mata Pernambucana,Vitória de Santo Antão,Caruaru,Caruaru
2604601,Condado,Mata Pernambucana,Mata Setentrional Pernambucana,Goiana - Timbaúba,Recife
2604700,Correntes,Agreste Pernambucano,Garanhuns,Garanhuns,Caruaru
2604809,Cortês,Mata Pernambucana,Mata Meridional Pernambucana,Escada - Ribeirão,Recife
2604908,Cumaru,Agreste Pernambucano,Médio Capibaribe,Caruaru,Caruaru
2605004,Cupira,Agreste Pernambucano,Brejo Pernambucano,Caruaru,Caruaru
2605103,Custódia,Sertão Pernambucano,Sertão do Moxotó,Arcoverde,Caruaru
2605152,Dormentes,São Francisco Pernambucano,Petrolina,Petrolina,Petrolina
2605202,Escada,Mata Pernambucana,Mata Meridional Pernambucana,Escada - Ribeirão,Recife
2605301,Exu,Sertão Pernambucano,Araripina,Araripina,Petrolina
2605400,Feira Nova,Agreste Pernambucano,Médio Capibaribe,Limoeiro,Recife
2605459,Fernando de Noronha,Metropolitana de Recife,Fernando de Noronha,Recife,Recife
2605509,Ferreiros,Mata Pernambucana,Mata Setentrional Pernambucana,Goiana - Timbaúba,Recife
2605608,Flores,Sertão Pernambucano,Pajeú,Serra Talhada,Serra Talhada
2605707,Floresta,São Francisco Pernambucano,Itaparica,Serra Talhada,Serra Talhada
2605806,Frei Miguelinho,Agreste Pernambucano,Alto Capibaribe,Surubim,Recife
2605905,Gameleira,Mata Pernambucana,Mata Meridional Pernambucana,Palmares,Recife
2606002,Garanhuns,Agreste Pernambucano,Garanhuns,Garanhuns,Caruaru
2606101,Glória do Goitá,Mata Pernambucana,Vitória de Santo Antão,Vitória de Santo Antão,Recife
2606200,Goiana,Mata Pernambucana,Mata Setentrional Pernambucana,Goiana - Timbaúba,Recife
2606309,Granito,Sertão Pernambucano,Araripina,Araripina,Petrolina
2606408,Gravatá,Agreste Pernambucano,Vale do Ipojuca,Caruaru,Caruaru
2606507,Iati,Agreste Pernambucano,Garanhuns,Garanhuns,Caruaru
2606606,Ibimirim,Sertão Pernambucano,Sertão do Moxotó,Arcoverde,Caruaru
2606705,Ibirajuba,Agreste Pernambucano,Brejo Pernambucano,Caruaru,Caruaru
2606804,Igarassu,Metropolitana de Recife,Itamaracá,Recife,Recife
2606903,Iguaracy,Sertão Pernambucano,Pajeú,Afogados da Ingazeira,Serra Talhada
2607000,Inajá,Sertão Pernambucano,Sertão do Moxotó,Arcoverde,Caruaru
2607109,Ingazeira,Sertão Pernambucano,Pajeú,Afogados da Ingazeira,Serra Talhada
2607208,Ipojuca,Metropolitana de Recife,Suape,Recife,Recife
2607307,Ipubi,Sertão Pernambucano,Araripina,Araripina,Petrolina
2607406,Itacuruba,São Francisco Pernambucano,Itaparica,Salgueiro,Petrolina
2607505,Itaíba,Agreste Pernambucano,Vale do Ipanema,Arcoverde,Caruaru
2607604,Ilha de Itamaracá,Metropolitana de Recife,Itamaracá,Recife,Recife
2607653,Itambé,Mata Pernambucana,Mata Setentrional Pernambucana,Goiana - Timbaúba,Recife
2607703,Itapetim,Sertão Pernambucano,Pajeú,Afogados da Ingazeira,Serra Talhada
2607752,Itapissuma,Metropolitana de Recife,Itamaracá,Recife,Recife
